,it,dataset,treated_groups,lift_size,reference_value,model,true_ate,estimated_ate,estimated_std,ci,estimated_lower_bound,estimated_upper_bound,simulation_date
0,0.0,lifetime_value,Other Countries_CL,0.6255058252810632,6003.864281345483,SLearner,2310.3282829079712,2718.068493522236,205.666712435068,0.9,2389.838771894285,3032.708486711252,2024-07-30
1,0.0,lifetime_value,Other Countries_CL,0.6255058252810632,6003.864281345483,TLearner,2310.3282829079712,2698.775843179601,222.4125272488644,0.9,2382.243727167276,3121.864799990212,2024-07-30
2,0.0,lifetime_value,Other Countries_CL,0.6255058252810632,6003.864281345483,DoublyRobustEstimator,2310.3282829079712,2723.138744678811,150.51284236431084,0.9,2413.1431061478643,2918.1120798359084,2024-07-30
3,0.0,lifetime_value,Other Countries_CL,0.6255058252810632,6003.864281345483,DoWhyEstimator,2310.3282829079712,2992.895031345477,508.41936700631766,0.9,4018.885138327076,5866.959620015219,2024-07-30
4,0.0,lifetime_value,Other Countries_CL,0.6255058252810632,6003.864281345483,SyntheticControlEstimator,2310.3282829079712,2906.401402542422,14.961457075746251,0.9,2881.9348760619787,2931.127741983601,2024-07-30
5,0.0,lifetime_value,Other Countries_CL,0.6255058252810632,6003.864281345483,DifferenceInDifferencesEstimator,2310.3282829079712,2604.392841409121,217.58754553461847,0.9,2249.2137135756147,2965.5908941238326,2024-07-30
6,1.0,lifetime_value,SG,0.1124715209273209,118.02302492065778,SLearner,11.932196795657749,19.22200370653017,9.08504665379504,0.9,-2.884488615555974,18.45568427920064,2024-07-30
7,1.0,lifetime_value,SG,0.1124715209273209,118.02302492065778,TLearner,11.932196795657749,18.961559962634848,22.748327196653985,0.9,-13.552935178450644,53.087587072960105,2024-07-30
8,1.0,lifetime_value,SG,0.1124715209273209,118.02302492065778,DoublyRobustEstimator,11.932196795657749,19.588549920657744,13.802415989302125,0.9,-12.61048199378511,33.25054864661248,2024-07-30
9,1.0,lifetime_value,SG,0.1124715209273209,118.02302492065778,DoWhyEstimator,11.932196795657749,-23.132975079342245,61.98991078716743,0.9,-43.55899084056006,188.84166412285583,2024-07-30
10,1.0,lifetime_value,SG,0.1124715209273209,118.02302492065778,SyntheticControlEstimator,11.932196795657749,-10.682324789585412,6.207433890663075,0.9,-20.44633664345953,-0.4454930454216781,2024-07-30
11,1.0,lifetime_value,SG,0.1124715209273209,118.02302492065778,DifferenceInDifferencesEstimator,11.932196795657749,1.8028245585089315,26.504624009650183,0.9,-42.06798291878116,45.15603562626208,2024-07-30
12,2.0,lifetime_value,IL,0.2192655672024701,527.4063500890754,SLearner,94.84566415157548,159.92262261648386,68.39286417450431,0.9,8.601693852808017,228.3020966446901,2024-07-30
13,2.0,lifetime_value,IL,0.2192655672024701,527.4063500890754,TLearner,94.84566415157548,142.57153633351942,70.79121442562871,0.9,36.34071322346658,254.54880188988645,2024-07-30
14,2.0,lifetime_value,IL,0.2192655672024701,527.4063500890754,DoublyRobustEstimator,94.84566415157548,147.52015175574223,49.04457828051587,0.9,45.33230455291877,202.2863855127652,2024-07-30
15,2.0,lifetime_value,IL,0.2192655672024701,527.4063500890754,DoWhyEstimator,94.84566415157548,206.5567250890755,171.6940319195654,0.9,196.6133916522765,869.1437110045409,2024-07-30
16,2.0,lifetime_value,IL,0.2192655672024701,527.4063500890754,SyntheticControlEstimator,94.84566415157548,127.63611087454863,11.228512798570474,0.9,110.06279095365778,146.55626756151665,2024-07-30
17,2.0,lifetime_value,IL,0.2192655672024701,527.4063500890754,DifferenceInDifferencesEstimator,94.84566415157548,93.00916105121372,78.55003287427147,0.9,-34.974581206980574,219.2681743422004,2024-07-30
18,3.0,lifetime_value,CA,0.3252146718370338,836.8463435536178,SLearner,205.36650761611796,297.67895326337583,68.94282908840279,0.9,133.08817099322005,361.3006605529789,2024-07-30
19,3.0,lifetime_value,CA,0.3252146718370338,836.8463435536178,TLearner,205.36650761611796,283.4571659868014,64.04242163792509,0.9,176.71220604842472,390.3929410193665,2024-07-30
20,3.0,lifetime_value,CA,0.3252146718370338,836.8463435536178,DoublyRobustEstimator,205.36650761611796,284.18392855361765,45.78798415977574,0.9,185.2780658955012,337.33809894530737,2024-07-30
21,3.0,lifetime_value,CA,0.3252146718370338,836.8463435536178,DoWhyEstimator,205.36650761611796,32.88129355361785,135.89902002660125,0.9,233.41335965209183,672.4507400708798,2024-07-30
22,3.0,lifetime_value,CA,0.3252146718370338,836.8463435536178,SyntheticControlEstimator,205.36650761611796,258.5660412512386,9.910842208292223,0.9,241.7483178922491,274.9962054275272,2024-07-30
23,3.0,lifetime_value,CA,0.3252146718370338,836.8463435536178,DifferenceInDifferencesEstimator,205.36650761611796,249.1600142263404,54.49875576746285,0.9,159.40855872167043,338.5038836067791,2024-07-30
24,4.0,lifetime_value,CA_NG_TH,0.0413847048565658,1162.800512362686,SLearner,46.209777987685534,104.01539857238832,37.79070956967089,0.9,-0.3306920364095341,124.63194813860176,2024-07-30
25,4.0,lifetime_value,CA_NG_TH,0.0413847048565658,1162.800512362686,TLearner,46.209777987685534,100.55285021775978,65.6312413727802,0.9,-15.200120254078168,195.68066765477363,2024-07-30
26,4.0,lifetime_value,CA_NG_TH,0.0413847048565658,1162.800512362686,DoublyRobustEstimator,46.209777987685534,92.12037236268624,40.898210667735015,0.9,2.7139910359488213,137.52848608717974,2024-07-30
27,4.0,lifetime_value,CA_NG_TH,0.0413847048565658,1162.800512362686,DoWhyEstimator,46.209777987685534,263.3757623626869,166.27635591718277,0.9,-166.24435804007598,333.0817000113091,2024-07-30
